sex,birth,education,family,job,rich,religion,voting,politics,x,y,location,lang
m,1982,3,1,6,2,8,6,3,0.05,-0.58,0,r
m,1977,1,1,6,5,8,2,2,-0.03,-0.5,0,r
m,,1,1,11,7,8,11,2,0.4,-0.48,0,r
f,1966,1,1,11,6,8,11,3,-0.13,-0.28,0,r
m,1985,1,2,4,3,8,11,2,0.05,-0.53,0,r
m,1975,3,2,4,3,1,1,1,0.03,-0.53,,r
m,1984,5,1,6,7,8,6,2,-0.13,-0.43,,r
m,1982,1,2,6,7,8,1,1,-0.08,-0.58,32,r
m,,5,1,5,,,,,0.2,-0.68,0,r
m,1978,1,1,1,1,8,11,1,0.03,-0.33,,r
m,,1,2,3,,8,11,4,-0.18,-0.48,,r
m,1987,1,1,14,7,8,11,2,0.03,-0.58,0,r
m,1979,1,1,4,5,1,11,,-0.23,-0.1,0,r
f,1982,1,1,4,3,8,2,1,0.08,-0.53,71,r
m,1966,1,1,5,4,1,1,2,0.13,-0.15,,r
m,1992,1,2,2,5,8,11,4,-0.05,-0.38,0,r
m,1981,1,1,11,,8,6,1,0.3,-0.78,0,r
f,1988,,,5,,,,,-0.13,-0.48,,r
m,,1,1,5,7,8,11,1,0.18,-0.58,,r
m,1984,1,3,6,4,8,11,3,0.05,-0.85,,r
m,1981,2,2,7,7,8,6,3,-0.13,-0.2,0,r
f,1992,1,2,11,2,1,11,1,-0.4,-0.08,32,r
m,1980,3,1,6,7,3,1,1,0.28,-0.8,32,r
m,1984,1,1,4,5,8,6,3,-0.15,-0.58,0,r
m,1987,1,1,6,7,8,11,4,0.08,-0.58,32,r
m,1970,1,3,13,1,8,11,1,0.33,-0.55,0,r
m,1989,3,2,13,5,8,11,1,-0.08,-0.35,0,r
m,1993,1,2,3,4,1,6,1,0.05,-0.68,0,r
m,1980,1,1,7,6,8,6,2,0.05,-0.83,0,r
m,1960,1,1,5,,8,,,-0.1,-0.1,0,r
m,1983,5,1,6,5,8,6,1,0.03,-0.63,0,r
m,1995,3,2,2,2,8,2,2,0.1,-0.43,14,r
f,1974,1,1,6,6,8,11,1,-0.18,-0.5,,r
m,1989,1,2,4,2,8,11,3,0.1,-0.8,,r
f,1984,1,2,6,2,8,11,2,0.05,-0.68,0,r
m,1978,5,3,8,4,8,11,1,-0.08,-0.55,0,r
m,1993,1,2,6,6,8,2,1,0.33,-0.63,63,r
m,1979,6,2,7,7,8,1,2,0.15,-0.68,51,r
m,1978,2,1,6,7,8,10,2,0.2,-0.23,,r
m,1989,3,1,13,3,8,11,3,0.05,-0.7,,r
m,1979,1,1,1,3,3,11,4,-0.33,-0.25,0,r
m,1975,1,4,6,7,8,11,1,0,-0.68,0,r
m,1993,1,2,7,2,1,2,3,-0.03,-0.5,32,r
m,1981,1,1,6,6,1,1,1,0.35,-0.68,0,r
m,1970,1,3,6,6,8,6,1,-0.08,-0.2,0,r
m,1985,5,2,14,,8,6,3,-0.4,-0.6,0,r
m,1972,1,3,6,7,1,1,4,0.23,-0.43,,r
m,1992,1,2,3,1,8,2,2,0.58,-0.63,32,r
m,1997,3,2,9,1,8,11,4,0.05,-0.35,0,r
m,,1,1,8,5,8,11,2,-0.3,-0.08,0,r
f,1975,1,1,2,6,1,11,2,-0.65,-0.58,,r
m,,,,5,,,,,0.05,-0.53,7,r
m,1988,1,2,10,7,1,1,1,-0.15,-0.28,,r
f,1989,1,2,4,6,1,11,4,-0.33,-0.38,,r
m,,3,1,2,,8,,,-0.15,-0.6,,r
m,1986,1,1,6,7,8,11,1,0.33,-0.5,0,r
m,1976,1,1,8,3,1,6,2,-0.05,-0.75,0,r
m,,1,1,4,2,8,11,1,-0.15,-0.18,,r
f,,1,2,7,2,1,6,3,-0.38,-0.23,32,r
m,,4,4,13,1,6,6,4,0.38,0.8,61,r
f,1988,1,2,6,2,8,10,1,0.18,-0.78,12,r
